claim_id,claim_area,claim,status,primary_metric,primary_artifact,allowed_wording,blocked_wording
C01,LOG_AGE capacity baselines,"Current scalar LOG_AGE summaries help nonlinear models in some grouped views, but gains are mixed",partially_supported,"HGB F3->F4 mean gain 0.000085; positive rows 10/20","docs/experiments/2026-05-22_capacity_baseline_synthesis.md","Current scalar LOG_AGE summaries help nonlinear models in some grouped views, but gains are mixed.","LOG_AGE scalar summaries broadly solve operating-history generalization."
C02,LOG_AGE stress features,LOG_AGE stress features solve C-rate fade prediction,not_supported,"C-rate delta best stress MAE 0.102516 vs F4 0.101133","reports/baselines/capacity_stress_features_v1_1_hgb50/stress_feature_diagnostics.md","Stress features improved some folds but did not solve C-rate delta_capacity_Ah.","LOG_AGE stress features solve C-rate fade prediction."
C03,Capacity split difficulty,C-rate holdout is the hardest capacity generalization view,supported,"Best C-rate capacity_Ah_k1 MAE 0.125186 and delta MAE 0.101133 remain high","docs/experiments/2026-05-22_capacity_baseline_synthesis.md","C-rate holdout is the dominant unresolved capacity generalization stressor.","The model generalizes uniformly across stressor holdouts."
C04,PULSE target QA,PULSE RT/50 is usable as scalar resistance endpoint,supported_for_diagnostics,"Canonical RT/50 target robustness and delta_pulse_1s_resistance C-rate MAE 0.00185842","docs/experiments/2026-05-23_pulse_target_robustness_decision.md","Canonical RT/50 PULSE is robust enough for scalar resistance-baseline diagnostics.","PULSE target robustness proves broad multimodal degradation modeling."
C05,PULSE coupling,PULSE growth explains capacity residuals,supported_for_explanatory_diagnostics,"C-rate interval abs residual correlations: capacity Pearson 0.857653; delta Pearson 0.647125","docs/experiments/2026-05-23_capacity_pulse_coupling_robustness.md","PULSE growth is associated with capacity residual magnitude, especially in C-rate views.","PULSE growth is causal or independently sufficient after all confounds."
C06,Prior PULSE over F4,Prior PULSE improves capacity-level prediction over F4,supported_for_selected_splits,"capacity_Ah_k1 gains vs F4: C-rate 0.00669208; temperature 0.00509620; profile 0.0214905","docs/experiments/2026-05-23_prior_pulse_capacity_prediction.md","Prior PULSE state improves capacity_Ah_k1 over F4 in selected grouped splits.","Prior PULSE improves all capacity targets or all splits."
C07,Prior PULSE vs best non-PULSE,Prior PULSE beats strongest supplied non-PULSE capacity baseline,not_supported,"C-rate capacity_Ah_k1 gain 0.000392605 with p05 -0.00553843; temperature/profile mean gains negative","docs/experiments/2026-05-23_prior_pulse_vs_best_nonpulse.md","Prior PULSE improves over F4, but not over the strongest supplied non-PULSE HGB baselines.","Prior PULSE is the best available non-neural capacity feature path."
C08,Capacity fade target,Prior PULSE improves delta_capacity_Ah,not_supported,"C-rate delta gain vs strongest non-PULSE -0.00234428; gain vs F4 -0.00574230","reports/baselines/capacity_prior_pulse_vs_best_nonpulse/prior_pulse_vs_best_nonpulse_claim_readiness.md","delta_capacity_Ah remains an unresolved guardrail limitation.","Prior PULSE improves fade-rate prediction."
C09,Quantile diagnostics,Quantile HGB uncertainty is calibrated,not_supported,"q10-q90 coverage about 0.678207 vs nominal 0.8","reports/baselines/capacity_hgb50_focused/claim_readiness.md","Quantile metrics are diagnostics only until calibration is tested.","HGB quantile intervals are calibrated uncertainty estimates."
C10,EIS gate,EIS improves any non-EIS outcome,gated,"EIS coverage exists but valid-frequency QA and predictive tests are pending","docs/REPO_STATUS.md","EIS remains gated and untested for predictive claims.","EIS improves degradation prediction."
C11,CBAT gate,CBAT architecture is justified,blocked,"Simpler baselines and evidence synthesis have not authorized architecture work","docs/PROJECT_CHARTER.md","CBAT remains a reserved late-stage architecture label.","CBAT is justified by current baseline evidence."
C12,Validation discipline,Grouped condition validation is required for publishable evidence,supported,"All headline reports use condition/stressor grouped splits and parameter-set condition aggregation","docs/VALIDATION_PROTOCOL.md","Headline claims must use grouped validation and replicate-aware condition summaries.","Random row or cell splits are publishable evidence."
